Symbol,Name,Industry,IndustryCode
COHU,Cohu Inc,반도체 및 반도체 장비,571010
FBNC,First Bancorp (North Carolina),은행,551010
ECPG,Encore Capital Group Inc,은행,551010
ILPT,Industrial Logistics Properties Trust,주택 및 상업용 리츠,601020
AVXL,Anavex Life Sciences Corp,생명과학 및 메디컬 리서치,562020
CFFN,Capitol Federal Financial Inc,은행,551010
HEPS,D Market Elektronik Hizmetler ve Ticaret AS ADR,다양한 소매업,534020
OSIS,OSI Systems Inc,전자 장비 및 부품,571040
GOGL,Golden Ocean Group Ltd,화물 및 물류 서비스,524050
SHYF,Shyft Group Inc,자동차 및 자동차 부품,531010
SUPN,Supernus Pharmaceuticals Inc,제약,562010
ARHS,Arhaus Inc Class A,가정용품,532040
HIVE,HIVE Blockchain Technologies Ltd,핀테크,573010
GOGO,Gogo Inc,통신 서비스,574010
DRNA,Dicerna Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
KALU,Kaiser Aluminum Corp,메탈&마이닝,512010
IMCR,Immunocore Holdings PLC ADR,생명과학 및 메디컬 리서치,562020
INBX,Inhibrx Inc,생명과학 및 메디컬 리서치,562020
KDMN,Kadmon Holdings Inc,제약,562010
FORTY,Formula Systems 1985 Ltd ADR,소프트웨어 및 IT서비스,572010
MLAB,Mesa Laboratories Inc,"건설장비 및 대형차, 기차, 배",521020
OPRX,OPTIMIZERx Corp,소프트웨어 및 IT서비스,572010
